label,param_name,param_value,index,seed,acc,auc,ce
PATCH_SIZE,patch_size,1,0,123,85.71428571428571,97.44897959183673,0.8567448404150712
PATCH_SIZE,patch_size,1,1,124,71.42857142857143,99.46524064171123,0.8066691496699799
PATCH_SIZE,patch_size,1,2,125,85.71428571428571,93.5672514619883,0.8389083925680519
PATCH_SIZE,patch_size,1,3,126,78.57142857142857,96.11111111111111,0.9002132069555598
PATCH_SIZE,patch_size,1,4,127,82.14285714285714,95.55555555555556,1.0991212225461433
PATCH_SIZE,patch_size,1,5,128,82.14285714285714,96.94444444444443,0.6873739236407995
PATCH_SIZE,patch_size,1,6,129,67.85714285714286,94.87179487179488,1.5755289718366694
PATCH_SIZE,patch_size,1,7,130,67.85714285714286,95.91836734693878,0.9230695864056803
PATCH_SIZE,patch_size,1,8,131,50.0,88.26530612244898,1.3245492050108234
PATCH_SIZE,patch_size,1,9,132,60.71428571428571,93.84615384615384,1.4447826783954432
PATCH_SIZE,patch_size,2,0,123,89.28571428571429,95.91836734693878,0.8926572359901327
PATCH_SIZE,patch_size,2,1,124,64.28571428571429,95.72192513368985,1.432354312850066
PATCH_SIZE,patch_size,2,2,125,82.14285714285714,90.05847953216374,0.9837829335547212
PATCH_SIZE,patch_size,2,3,126,85.71428571428571,95.0,0.8231705409955826
PATCH_SIZE,patch_size,2,4,127,78.57142857142857,88.88888888888889,1.2031963205842788
PATCH_SIZE,patch_size,2,5,128,71.42857142857143,92.22222222222221,0.6169800905566133
PATCH_SIZE,patch_size,2,6,129,71.42857142857143,89.74358974358975,1.690475786451673
PATCH_SIZE,patch_size,2,7,130,60.71428571428571,94.38775510204081,0.8632132509218147
PATCH_SIZE,patch_size,2,8,131,50.0,87.75510204081633,1.3790609351292784
PATCH_SIZE,patch_size,2,9,132,60.71428571428571,93.33333333333334,1.4431924348422658
PATCH_SIZE,patch_size,3,0,123,89.28571428571429,97.95918367346938,0.6211403576450039
PATCH_SIZE,patch_size,3,1,124,82.14285714285714,97.8609625668449,0.7364609092608784
PATCH_SIZE,patch_size,3,2,125,96.42857142857143,100.0,0.12144515133893817
PATCH_SIZE,patch_size,3,3,126,85.71428571428571,97.77777777777777,0.27063868959602033
PATCH_SIZE,patch_size,3,4,127,96.42857142857143,98.88888888888889,0.1890525329418519
PATCH_SIZE,patch_size,3,5,128,92.85714285714286,100.0,0.1978819991936689
PATCH_SIZE,patch_size,3,6,129,82.14285714285714,98.97435897435898,0.7512062905113908
PATCH_SIZE,patch_size,3,7,130,75.0,100.0,0.6254763972247019
PATCH_SIZE,patch_size,3,8,131,50.0,96.42857142857143,0.8252235619875137
PATCH_SIZE,patch_size,3,9,132,75.0,96.4102564102564,0.7571131770044823
PATCH_SIZE,patch_size,4,0,123,82.14285714285714,95.40816326530613,0.9094357080808939
PATCH_SIZE,patch_size,4,1,124,82.14285714285714,97.8609625668449,0.631897132323583
PATCH_SIZE,patch_size,4,2,125,96.42857142857143,100.0,0.11105750930343154
PATCH_SIZE,patch_size,4,3,126,89.28571428571429,95.55555555555554,0.2921042853508555
PATCH_SIZE,patch_size,4,4,127,96.42857142857143,99.44444444444444,0.20263220654045913
PATCH_SIZE,patch_size,4,5,128,89.28571428571429,100.0,0.2392554773415603
PATCH_SIZE,patch_size,4,6,129,78.57142857142857,100.0,0.9103446735890576
PATCH_SIZE,patch_size,4,7,130,71.42857142857143,100.0,0.6008222732894605
PATCH_SIZE,patch_size,4,8,131,50.0,96.42857142857142,0.8692422238569374
PATCH_SIZE,patch_size,4,9,132,67.85714285714286,97.94871794871794,1.009562048171834
PATCH_SIZE,patch_size,5,0,123,78.57142857142857,94.38775510204081,0.8910202624361838
PATCH_SIZE,patch_size,5,1,124,64.28571428571429,95.72192513368984,1.5496601957681995
PATCH_SIZE,patch_size,5,2,125,78.57142857142857,95.32163742690058,0.6550663218899737
PATCH_SIZE,patch_size,5,3,126,75.0,91.11111111111111,1.094634706641354
PATCH_SIZE,patch_size,5,4,127,78.57142857142857,92.22222222222223,0.9607568342019996
PATCH_SIZE,patch_size,5,5,128,75.0,85.0,1.259486437329997
PATCH_SIZE,patch_size,5,6,129,60.71428571428571,92.3076923076923,1.29617938282539
PATCH_SIZE,patch_size,5,7,130,57.14285714285714,92.3469387755102,1.1797242662827816
PATCH_SIZE,patch_size,5,8,131,50.0,85.20408163265306,1.34269366153915
PATCH_SIZE,patch_size,5,9,132,60.71428571428571,83.58974358974358,1.926234194857638
PATCH_SIZE,patch_size,6,0,123,64.28571428571429,86.22448979591837,1.449675709112317
PATCH_SIZE,patch_size,6,1,124,60.71428571428571,94.6524064171123,1.4621715688420605
PATCH_SIZE,patch_size,6,2,125,82.14285714285714,95.90643274853801,0.5951939786291405
PATCH_SIZE,patch_size,6,3,126,75.0,86.1111111111111,1.2853894254918552
PATCH_SIZE,patch_size,6,4,127,67.85714285714286,96.66666666666669,0.9785455234437644
PATCH_SIZE,patch_size,6,5,128,75.0,88.33333333333333,1.0998937182403747
PATCH_SIZE,patch_size,6,6,129,64.28571428571429,93.33333333333334,1.633653427513431
PATCH_SIZE,patch_size,6,7,130,57.14285714285714,86.22448979591837,1.1695359871571003
PATCH_SIZE,patch_size,6,8,131,50.0,85.20408163265306,1.3552740777293886
PATCH_SIZE,patch_size,6,9,132,60.71428571428571,87.6923076923077,1.8988340818099718
PATCH_SIZE,patch_size,7,0,123,50.0,82.65306122448979,2.330568229639669
PATCH_SIZE,patch_size,7,1,124,60.71428571428571,58.55614973262032,2.5163445184426956
PATCH_SIZE,patch_size,7,2,125,67.85714285714286,71.34502923976609,1.3303112373064974
PATCH_SIZE,patch_size,7,3,126,64.28571428571429,70.55555555555556,1.5634609076589965
PATCH_SIZE,patch_size,7,4,127,67.85714285714286,52.22222222222223,2.0953874847364204
PATCH_SIZE,patch_size,7,5,128,64.28571428571429,58.333333333333336,1.7429524202260447
PATCH_SIZE,patch_size,7,6,129,42.857142857142854,60.51282051282052,3.0843679225257086
PATCH_SIZE,patch_size,7,7,130,50.0,61.224489795918366,1.8375546284119733
PATCH_SIZE,patch_size,7,8,131,50.0,67.3469387755102,1.6846917145885527
PATCH_SIZE,patch_size,7,9,132,53.57142857142857,60.0,2.119037490121887
PATCH_SIZE,patch_size,8,0,123,57.14285714285714,76.53061224489795,2.3578508792645607
PATCH_SIZE,patch_size,8,1,124,60.71428571428571,76.47058823529412,1.9019849172722647
PATCH_SIZE,patch_size,8,2,125,67.85714285714286,87.13450292397661,0.943939018680112
PATCH_SIZE,patch_size,8,3,126,71.42857142857143,68.88888888888889,1.6470587420803244
PATCH_SIZE,patch_size,8,4,127,64.28571428571429,54.44444444444445,2.1757605584810205
PATCH_SIZE,patch_size,8,5,128,64.28571428571429,73.88888888888889,1.4012780655359944
PATCH_SIZE,patch_size,8,6,129,46.42857142857143,82.56410256410255,2.936083757659422
PATCH_SIZE,patch_size,8,7,130,50.0,69.38775510204081,1.864842197175936
PATCH_SIZE,patch_size,8,8,131,50.0,76.02040816326532,1.7136712410304296
PATCH_SIZE,patch_size,8,9,132,53.57142857142857,50.76923076923077,2.5748747519818216
PATCH_SIZE,patch_size,9,0,123,50.0,84.18367346938777,2.604897199658418
PATCH_SIZE,patch_size,9,1,124,60.71428571428571,63.101604278074866,2.262630817364035
PATCH_SIZE,patch_size,9,2,125,67.85714285714286,69.00584795321637,1.541417555074174
PATCH_SIZE,patch_size,9,3,126,64.28571428571429,75.55555555555556,1.6683829960622591
PATCH_SIZE,patch_size,9,4,127,71.42857142857143,66.11111111111111,1.7975428146520633
PATCH_SIZE,patch_size,9,5,128,64.28571428571429,65.55555555555554,1.8257295055500435
PATCH_SIZE,patch_size,9,6,129,46.42857142857143,63.589743589743584,3.5883399124077187
PATCH_SIZE,patch_size,9,7,130,50.0,72.95918367346938,2.049728707824085
PATCH_SIZE,patch_size,9,8,131,50.0,75.0,1.5136727675063801
PATCH_SIZE,patch_size,9,9,132,53.57142857142857,65.64102564102564,2.4006907048673645
PATCH_SIZE,patch_size,10,0,123,53.57142857142857,70.91836734693878,2.8751361708642174
PATCH_SIZE,patch_size,10,1,124,60.71428571428571,63.63636363636363,2.4476729178914605
PATCH_SIZE,patch_size,10,2,125,67.85714285714286,67.2514619883041,1.9805376608900684
PATCH_SIZE,patch_size,10,3,126,64.28571428571429,75.55555555555556,1.7234699875457733
PATCH_SIZE,patch_size,10,4,127,64.28571428571429,60.00000000000001,1.7314230791169913
PATCH_SIZE,patch_size,10,5,128,67.85714285714286,73.88888888888889,1.519247730229316
PATCH_SIZE,patch_size,10,6,129,46.42857142857143,78.46153846153847,3.1170300065152867
PATCH_SIZE,patch_size,10,7,130,50.0,64.79591836734693,2.2910709428916953
PATCH_SIZE,patch_size,10,8,131,50.0,69.38775510204081,1.6354353601678409
PATCH_SIZE,patch_size,10,9,132,57.14285714285714,59.48717948717949,2.3843145473874756
